[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-96350', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=234ms
[worker] subscribed → benchmark/#
[metrics] elapsed=148s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1276/s last_commit=0ms max_commit=294ms
[metrics] elapsed=150s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1259/s last_commit=0ms max_commit=294ms
[metrics] elapsed=152s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1243/s last_commit=0ms max_commit=294ms
[metrics] elapsed=154s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1226/s last_commit=0ms max_commit=294ms
[metrics] elapsed=156s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1211/s last_commit=0ms max_commit=294ms
[metrics] elapsed=158s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1195/s last_commit=0ms max_commit=294ms
[metrics] elapsed=160s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1180/s last_commit=0ms max_commit=294ms
[metrics] elapsed=162s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1166/s last_commit=0ms max_commit=294ms
[metrics] elapsed=164s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1152/s last_commit=0ms max_commit=294ms
[metrics] elapsed=166s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1138/s last_commit=0ms max_commit=294ms
[metrics] elapsed=168s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1124/s last_commit=0ms max_commit=294ms
[metrics] elapsed=170s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1111/s last_commit=0ms max_commit=294ms
[metrics] elapsed=172s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1098/s last_commit=0ms max_commit=294ms
[metrics] elapsed=174s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1085/s last_commit=0ms max_commit=294ms
[metrics] elapsed=176s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1073/s last_commit=0ms max_commit=294ms
[metrics] elapsed=178s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1061/s last_commit=0ms max_commit=294ms
[metrics] elapsed=180s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1049/s last_commit=0ms max_commit=294ms
[metrics] elapsed=182s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1038/s last_commit=0ms max_commit=294ms
[metrics] elapsed=184s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1026/s last_commit=0ms max_commit=294ms
[metrics] elapsed=186s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1015/s last_commit=0ms max_commit=294ms
[metrics] elapsed=188s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=1005/s last_commit=0ms max_commit=294ms
[metrics] elapsed=190s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=994/s last_commit=0ms max_commit=294ms
[metrics] elapsed=192s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=984/s last_commit=0ms max_commit=294ms
[metrics] elapsed=194s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=974/s last_commit=0ms max_commit=294ms
[metrics] elapsed=196s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=964/s last_commit=0ms max_commit=294ms
[metrics] elapsed=198s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=954/s last_commit=0ms max_commit=294ms
[metrics] elapsed=200s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=944/s last_commit=0ms max_commit=294ms
[metrics] elapsed=202s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=935/s last_commit=0ms max_commit=294ms
[metrics] elapsed=204s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=926/s last_commit=0ms max_commit=294ms
[metrics] elapsed=206s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=917/s last_commit=0ms max_commit=294ms
[metrics] elapsed=208s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=908/s last_commit=0ms max_commit=294ms
[metrics] elapsed=210s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=899/s last_commit=0ms max_commit=294ms
[metrics] elapsed=212s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=891/s last_commit=0ms max_commit=294ms
[metrics] elapsed=214s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=883/s last_commit=0ms max_commit=294ms
[metrics] elapsed=216s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=874/s last_commit=0ms max_commit=294ms
[metrics] elapsed=218s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=866/s last_commit=0ms max_commit=294ms
[metrics] elapsed=220s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=859/s last_commit=0ms max_commit=294ms
[metrics] elapsed=222s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=851/s last_commit=0ms max_commit=294ms
[metrics] elapsed=224s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=843/s last_commit=0ms max_commit=294ms
[metrics] elapsed=226s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=836/s last_commit=0ms max_commit=294ms
[metrics] elapsed=228s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=828/s last_commit=0ms max_commit=294ms
[metrics] elapsed=230s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=821/s last_commit=0ms max_commit=294ms
[metrics] elapsed=232s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=814/s last_commit=0ms max_commit=294ms
[metrics] elapsed=234s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=807/s last_commit=0ms max_commit=294ms
[metrics] elapsed=236s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=800/s last_commit=0ms max_commit=294ms
[metrics] elapsed=238s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=794/s last_commit=0ms max_commit=294ms
[metrics] elapsed=240s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=787/s last_commit=0ms max_commit=294ms
[metrics] elapsed=242s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=780/s last_commit=0ms max_commit=294ms
[metrics] elapsed=244s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=774/s last_commit=0ms max_commit=294ms
[metrics] elapsed=246s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=768/s last_commit=0ms max_commit=294ms
[metrics] elapsed=248s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=762/s last_commit=0ms max_commit=294ms
[metrics] elapsed=250s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=755/s last_commit=0ms max_commit=294ms
[metrics] elapsed=252s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=750/s last_commit=0ms max_commit=294ms
[metrics] elapsed=254s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=744/s last_commit=0ms max_commit=294ms
[metrics] elapsed=256s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=738/s last_commit=0ms max_commit=294ms
[metrics] elapsed=258s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=732/s last_commit=0ms max_commit=294ms
[metrics] elapsed=260s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=726/s last_commit=0ms max_commit=294ms
[metrics] elapsed=262s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=721/s last_commit=0ms max_commit=294ms
[metrics] elapsed=264s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=715/s last_commit=0ms max_commit=294ms
[metrics] elapsed=266s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=710/s last_commit=0ms max_commit=294ms
[metrics] elapsed=268s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=705/s last_commit=0ms max_commit=294ms
[metrics] elapsed=270s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=700/s last_commit=0ms max_commit=294ms
[metrics] elapsed=272s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=694/s last_commit=0ms max_commit=294ms
[metrics] elapsed=274s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=689/s last_commit=0ms max_commit=294ms
[metrics] elapsed=276s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=684/s last_commit=0ms max_commit=294ms
[metrics] elapsed=278s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=679/s last_commit=0ms max_commit=294ms
[metrics] elapsed=280s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=675/s last_commit=0ms max_commit=294ms
[metrics] elapsed=282s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=670/s last_commit=0ms max_commit=294ms
[metrics] elapsed=284s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=665/s last_commit=0ms max_commit=294ms
[metrics] elapsed=286s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=660/s last_commit=0ms max_commit=294ms
[metrics] elapsed=288s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=656/s last_commit=0ms max_commit=294ms
[metrics] elapsed=290s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=651/s last_commit=0ms max_commit=294ms
