[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-80884', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=243ms
[worker] subscribed → benchmark/#
[metrics] elapsed=288s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=290s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=292s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=294s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=296s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=298s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=300s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=302s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=304s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=306s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
